,path,approach,replication_group,source,target,dataset,backbone,adaption_mode,test/source/rmse/dataloader_idx_0,test/source/score/dataloader_idx_0,test/target/score/dataloader_idx_1,test/target/rmse/dataloader_idx_1,validation,epoch_time
32,rul-adapt/benchmark/hwdy1xs5,AdaRulApproach,0a5730fc-72eb-4a06-a463-49a05fd4afa9,2,1,cmapss,cnn,60percent,33.941646575927734,9755.0947265625,7223002.5,60.19032287597656,68.70464324951172,4.0412609577178955
33,rul-adapt/benchmark/p594ymnj,AdaRulApproach,1bfe26be-48ca-41d2-9336-bb78d2e8fa55,3,4,cmapss,cnn,60percent,43.358394622802734,35821.0703125,301539.375,46.68776321411133,42.80010986328125,3.1042191452450223
34,rul-adapt/benchmark/zladp06n,AdaRulApproach,351cfadf-00ca-4aa7-838b-1e3bed379c8c,1,3,cmapss,cnn,60percent,16.18877601623535,561.1279296875,77975.109375,28.53065490722656,21.848461151123047,2.1761961633508857
35,rul-adapt/benchmark/yaow5cte,AdaRulApproach,0b8280e9-483a-4c69-830c-cd186f8885dc,3,1,cmapss,cnn,60percent,15.575407028198242,1615.62744140625,7193.5205078125,26.65433883666992,26.265796661376953,2.2985155365683814
36,rul-adapt/benchmark/rhl67fxf,AdaRulApproach,895a74ad-54e2-4c65-b0b5-2317090866e7,4,1,cmapss,cnn,60percent,30.691303253173828,16926.6953125,3302.658203125,30.460338592529297,35.37754821777344,5.225773274898529
37,rul-adapt/benchmark/fv0c8bsw,AdaRulApproach,1bfe26be-48ca-41d2-9336-bb78d2e8fa55,3,4,cmapss,cnn,60percent,30.95807456970215,13573.775390625,181874.34375,44.7349739074707,41.463829040527344,3.4075513447032257
38,rul-adapt/benchmark/amha7scb,AdaRulApproach,d21ba3ad-a3f4-456a-9fc0-5551b5c4b90d,4,3,cmapss,cnn,60percent,57.988285064697266,104664416.0,94886.6796875,36.3127555847168,29.61688995361328,5.0310737291971845
39,rul-adapt/benchmark/2uvauc8h,AdaRulApproach,72a71dd0-cbc9-46cf-a30a-a1bb48eaff47,4,2,cmapss,cnn,60percent,31.375673294067383,7265.50390625,2184.2021484375,22.462881088256836,23.691242218017575,4.888667643070221
40,rul-adapt/benchmark/vbaxql2v,AdaRulApproach,1bfe26be-48ca-41d2-9336-bb78d2e8fa55,3,4,cmapss,cnn,60percent,33.11382293701172,10619.40625,383267.34375,46.84944534301758,43.52521133422851,3.509179870287577
41,rul-adapt/benchmark/qjdb4vf6,AdaRulApproach,895a74ad-54e2-4c65-b0b5-2317090866e7,4,1,cmapss,cnn,60percent,45.71788787841797,62810.5859375,3414.859375,22.44627571105957,22.86652183532715,5.275091171264648
42,rul-adapt/benchmark/0r395587,AdaRulApproach,72a71dd0-cbc9-46cf-a30a-a1bb48eaff47,4,2,cmapss,cnn,60percent,27.52371406555176,4567.8212890625,2621.6416015625,22.549083709716797,24.285140991210938,4.968912422657013
43,rul-adapt/benchmark/kib7c1od,AdaRulApproach,d21ba3ad-a3f4-456a-9fc0-5551b5c4b90d,4,3,cmapss,cnn,60percent,37.66962432861328,388457.6875,37835.125,33.30497741699219,27.00958251953125,5.18790373802185
44,rul-adapt/benchmark/wl1y8clt,AdaRulApproach,1bfe26be-48ca-41d2-9336-bb78d2e8fa55,3,4,cmapss,cnn,60percent,47.16011047363281,82876.359375,268683.46875,45.843990325927734,42.69560241699219,3.384256887435913
45,rul-adapt/benchmark/9eaua8n4,AdaRulApproach,1bfe26be-48ca-41d2-9336-bb78d2e8fa55,3,4,cmapss,cnn,60percent,36.08395767211914,34897.6015625,98116.5078125,44.25163269042969,41.17585372924805,3.440084864111508
46,rul-adapt/benchmark/0gao71eb,AdaRulApproach,895a74ad-54e2-4c65-b0b5-2317090866e7,4,1,cmapss,cnn,60percent,27.179201126098633,6898.9013671875,788.7051391601562,18.391830444335938,21.700653076171875,5.46890310680165
47,rul-adapt/benchmark/32rrmgl3,AdaRulApproach,d21ba3ad-a3f4-456a-9fc0-5551b5c4b90d,4,3,cmapss,cnn,60percent,32.29972457885742,84587.6015625,92679.2421875,39.383941650390625,34.15029525756836,5.285787343978882
48,rul-adapt/benchmark/6c1ay8uy,AdaRulApproach,72a71dd0-cbc9-46cf-a30a-a1bb48eaff47,4,2,cmapss,cnn,60percent,31.555625915527344,6556.421875,2887.230712890625,24.17498779296875,26.022855758666992,4.824189126491547
49,rul-adapt/benchmark/izd82n53,AdaRulApproach,29220c9b-8247-4ac0-bf4d-365f7468ff78,1,4,cmapss,cnn,60percent,42.827449798583984,20933.70703125,616363.5625,46.61825180053711,43.771995544433594,3.2353614966074624
50,rul-adapt/benchmark/kczchp9k,AdaRulApproach,895a74ad-54e2-4c65-b0b5-2317090866e7,4,1,cmapss,cnn,60percent,20.905712127685547,2315.20556640625,6346.12109375,31.68491554260254,38.20501327514648,4.653107643127441
51,rul-adapt/benchmark/9777cc7a,AdaRulApproach,29220c9b-8247-4ac0-bf4d-365f7468ff78,1,4,cmapss,cnn,60percent,35.1107177734375,6225.29248046875,124938.9296875,45.08564376831055,41.78226089477539,3.121154761314392
52,rul-adapt/benchmark/u1hboyd5,AdaRulApproach,d21ba3ad-a3f4-456a-9fc0-5551b5c4b90d,4,3,cmapss,cnn,60percent,29.810592651367188,25544.0859375,31999.96484375,37.02434921264648,32.00661849975586,4.683046483993531
53,rul-adapt/benchmark/i25g296v,AdaRulApproach,72a71dd0-cbc9-46cf-a30a-a1bb48eaff47,4,2,cmapss,cnn,60percent,29.818098068237305,5021.7109375,2193.371826171875,21.674386978149418,23.470375061035156,4.859356045722961
54,rul-adapt/benchmark/gg9q1tg0,AdaRulApproach,29220c9b-8247-4ac0-bf4d-365f7468ff78,1,4,cmapss,cnn,60percent,47.59260177612305,30547.78515625,137426.28125,44.0658073425293,42.18162536621094,3.321637100643582
55,rul-adapt/benchmark/nujpz2gg,AdaRulApproach,29220c9b-8247-4ac0-bf4d-365f7468ff78,1,4,cmapss,cnn,60percent,46.356468200683594,42140.6328125,739150.625,48.92556381225586,44.952510833740234,2.6418947696685793
56,rul-adapt/benchmark/usm6jca5,AdaRulApproach,895a74ad-54e2-4c65-b0b5-2317090866e7,4,1,cmapss,cnn,60percent,30.026689529418945,24169.107421875,27118.71875,31.053245544433594,37.61118698120117,4.6779407773699075
57,rul-adapt/benchmark/a1f2s9rm,AdaRulApproach,72a71dd0-cbc9-46cf-a30a-a1bb48eaff47,4,2,cmapss,cnn,60percent,26.134675979614254,3320.79931640625,3423.095703125,21.17181968688965,23.214584350585938,4.713379263877869
58,rul-adapt/benchmark/054ry8qx,AdaRulApproach,d21ba3ad-a3f4-456a-9fc0-5551b5c4b90d,4,3,cmapss,cnn,60percent,29.187877655029297,7545.890625,24123.30078125,34.48656463623047,32.585838317871094,5.326860308647156
59,rul-adapt/benchmark/9yiny7o3,AdaRulApproach,29220c9b-8247-4ac0-bf4d-365f7468ff78,1,4,cmapss,cnn,60percent,44.69200897216797,44170.78125,99494.359375,45.10569763183594,44.175270080566406,3.283852219581604
60,rul-adapt/benchmark/g6o8ybvk,AdaRulApproach,b115817e-ff77-4e5e-95fd-ee40f81a7a48,3,1,xjtu-sy,cnn,transductive,1.3585253953933716,0.13693071901798248,0.1068110316991806,0.7091249227523804,0.3692336678504944,4.498583555221558
61,rul-adapt/benchmark/f7f250gm,AdaRulApproach,b115817e-ff77-4e5e-95fd-ee40f81a7a48,3,1,xjtu-sy,cnn,transductive,2.8217148780822754,0.029006432741880417,0.0534132644534111,0.5637642741203308,0.5356888175010681,4.966157615184784
62,rul-adapt/benchmark/rh3nxdkb,AdaRulApproach,8dcdff8c-5c9e-4c92-bfbd-7ae057ccf8dc,3,2,xjtu-sy,cnn,transductive,0.882839024066925,0.1084420457482338,0.14809881150722504,0.2349170744419098,0.19909483194351196,9.241878509521484
63,rul-adapt/benchmark/jp4dilms,AdaRulApproach,b115817e-ff77-4e5e-95fd-ee40f81a7a48,3,1,xjtu-sy,cnn,transductive,1.4754257202148438,0.0690019503235817,0.08103115111589432,0.4044093489646912,0.4140180051326752,8.35235846042633
64,rul-adapt/benchmark/e8apyy1b,AdaRulApproach,8dcdff8c-5c9e-4c92-bfbd-7ae057ccf8dc,3,2,xjtu-sy,cnn,transductive,2.911129951477051,0.0257478691637516,0.015275904908776283,1.5310620069503784,1.189100742340088,9.257289290428162
65,rul-adapt/benchmark/vqb98bt5,AdaRulApproach,b115817e-ff77-4e5e-95fd-ee40f81a7a48,3,1,xjtu-sy,cnn,transductive,1.1892904043197632,0.13083593547344208,0.196443110704422,0.5544815063476562,0.3738226592540741,6.813630282878876
66,rul-adapt/benchmark/gqsfwi99,AdaRulApproach,8dcdff8c-5c9e-4c92-bfbd-7ae057ccf8dc,3,2,xjtu-sy,cnn,transductive,0.515460729598999,0.10507909208536148,0.13660423457622528,0.235640287399292,0.16031169891357422,9.230550050735474
67,rul-adapt/benchmark/pc7zbnt0,AdaRulApproach,b115817e-ff77-4e5e-95fd-ee40f81a7a48,3,1,xjtu-sy,cnn,transductive,4.58477783203125,0.012330535799264908,0.00501147611066699,1.5142755508422852,1.3126468658447266,6.690203666687012
68,rul-adapt/benchmark/soqewa2d,AdaRulApproach,8dcdff8c-5c9e-4c92-bfbd-7ae057ccf8dc,3,2,xjtu-sy,cnn,transductive,3.33236026763916,0.0012659315252676606,0.1521473377943039,1.0813487768173218,1.289111852645874,9.117685437202454
69,rul-adapt/benchmark/ypcmchaa,AdaRulApproach,0a29a214-9aaf-404e-aa37-9b14053919a0,2,3,xjtu-sy,cnn,transductive,0.3233495354652405,0.1532924771308899,0.15460246801376343,0.45140182971954346,0.33432331681251526,6.161568462848663
70,rul-adapt/benchmark/2cil017y,AdaRulApproach,0a29a214-9aaf-404e-aa37-9b14053919a0,2,3,xjtu-sy,cnn,transductive,0.3059156835079193,0.09949377924203873,0.12028700858354568,0.4064371585845947,0.30736303329467773,6.751498341560364
71,rul-adapt/benchmark/8bocs0t8,AdaRulApproach,0a29a214-9aaf-404e-aa37-9b14053919a0,2,3,xjtu-sy,cnn,transductive,0.2997719645500183,0.12436754256486891,0.07889352738857269,0.2928834557533264,0.313836932182312,6.07130491733551
72,rul-adapt/benchmark/avvmbzo4,AdaRulApproach,0a29a214-9aaf-404e-aa37-9b14053919a0,2,3,xjtu-sy,cnn,transductive,0.30802813172340393,0.15826649963855743,0.19497735798358917,0.31858792901039124,0.3273218274116516,6.767252266407013
73,rul-adapt/benchmark/8damj4dz,AdaRulApproach,0a29a214-9aaf-404e-aa37-9b14053919a0,2,3,xjtu-sy,cnn,transductive,0.2618282437324524,0.10154680162668228,0.08811099082231522,0.27336812019348145,0.33067968487739563,6.19651472568512
74,rul-adapt/benchmark/u53odrjz,AdaRulApproach,0e198dbd-8548-46aa-a93c-ebad5cacee67,2,1,xjtu-sy,cnn,transductive,0.3313738703727722,0.07198838144540787,0.1944696456193924,0.3863448202610016,0.2074761986732483,2.006548225879669
75,rul-adapt/benchmark/071z5zdq,AdaRulApproach,8dcdff8c-5c9e-4c92-bfbd-7ae057ccf8dc,3,2,xjtu-sy,cnn,transductive,3.1142618656158447,0.014491580426692964,0.01285870373249054,1.4685488939285278,1.1125776767730713,6.8288853764534
